pmid	contains_interactions	correct_pairs	curator	set
18793716	yes		Luana	
18796617	no		Livia	last.dsp.prio
18820298	yes	yes	Kalpana	last.dsp.prio
18825269	No		Sandra	last.dsp.prio
18828880	no		Mgt	last.dsp.prio
18931684	yes	yes	Kalpana	last.dsp.prio
18952837	no		Luana	
18953413	no		Luana	
18974846	yes	no|yes	Simona|Luana	
18997794	yes	no|yes	Simona	
19001122	yes		Livia	last.dsp.prio
19017360	no		Luana	
19056823	yes	no|yes	Simona	
19079338	yes	yes|no	Simona	
19088845	no		Luana	
19095693	yes		Livia	last.dsp.prio
19107203	yes	no	Simona	
19116655	Yes		Livia	last.dsp.prio
19128178	no		Luana	
19139264	yes		Livia	last.dsp.prio
19142223	Yes	yes	Sandra|Luana	last.dsp.prio
19142234	no		Luana	
19144997	no		Luana	
19145258	yes		Livia	last.dsp.prio
19179453	no		Luana	
19182790	yes		Pablo	
19224762	No		Nancy Campbell	last.dsp.prio
19228394	no		Luana	
19234442	yes	no	Simona	
19243468	yes		Luana	
19250527	no		Pablo	
19255644	No		Sandra	last.dsp.prio
19274086	yes	yes	Kalpana	last.dsp.prio
19275766	No		Sandra	last.dsp.prio
19289576	no		Pablo	
19293931	yes		Pablo	
19304746	yes		Luana	
19357644	yes	no	Simona	
19363483	no		Pablo	
19364924	yes		Luana	
19398759	yes	yes	Simona	
19399179	no		Pablo	
19424502	yes		Luana	
19440051	No		Sandra	last.dsp.prio
19451267	yes	yes	mgt|simona	last.dsp.prio
19478851	yes	yes	Simona	
19479062	yes	no|yes	Simona	
19484123	yes	yes|no	Simona	
19503796	yes		Livia	last.dsp.prio
19531470	no		Luana	
19542202	yes		Livia	last.dsp.prio
19580544	yes		Luana	
19583962	yes		Luana	
19584867	no		Pablo	
19602287	yes		Livia	last.dsp.prio
19642985	no		Pablo	
19654328	yes	yes	livia|Luana	last.dsp.prio
19668516	no		livia	last.dsp.prio
19675569	yes	no|yes	Simona	
19701457	yes	no	Simona	
19737400	yes	no|yes	Simona	
19749790	no	no	Simona	
19767412	no		Nancy Campbell	last.dsp.prio
19783983	yes	yes	Simona	
19814798	no	no	Simona	
19820721	no		Luana	
19825784	no		Luana	
