pair_id_clean	pubid	EBI_GOA_nonIntAct
P61981_Q12778	11237865	1
P63104_Q12778	11237865	1
O95352_Q12778	20543840	1
Q12778_Q8IXJ6	20543840	1
Q12778_Q14192	15692560	1
P23945_Q12778	17030088	1
P38935_Q12789	19299493	1
P19440_Q12791	15528406	1
P30519_Q12791	15528406	1
Q12791_Q86W47	10692449	1
P51636_Q12791	15703204	1
Q12791_Q2I0M4	20613726	1
Q12797_Q14573	21062895	1
Q12797_Q13586	22586105	1
Q12797_Q96D31	22586105	1
Q12798_Q8TCI5	20643351	1
Q12800_Q99496	18629613	1
P31946_Q12802	21224381	1
P61586_Q12802	25186459	1
Q12805_Q16610	19275936	1
Q12809_Q6ZRF8	25281747	1
Q12809_Q96PU5	21463633	1
Q12809_Q12809	8995352	1
P27824_Q12809	16361248	1
P62258_Q12809	11953308	1
P51532_Q12824	16687403	1
P51532_Q12824	22368283	1
P04637_Q12824	11950834	1
P28370_Q12830	14609955	1
Q12834_Q13257	10700282	1
Q12834_Q969U6	21725316	1
Q12834_Q96SN8	19282672	1
Q12834_Q9UI95	11459826	1
Q12834_Q13257	15525512	1
O60566_Q12834	15525512	1
Q12834_Q9H0E7	17443180	1
P10323_Q12836	15950651	1
Q12840_Q969J3	25898167	1
Q12846_Q6ZWJ1	12855681	1
P63027_Q12846	12855681	1
O00161_Q12846	16677249	1
O00186_Q12846	15576373	1
Q12851_Q16584	17584736	1
O14733_Q12852	14697235	1
Q12857_Q12948	15684392	1
Q12866_Q14393	20103767	1
Q12873_Q8IWS0	22720776	1
Q12879_Q8TCU5	17997397	1
P05556_Q12884	10455171	1
P26006_Q12884	10455171	1
P27487_Q12884	16651416	1
P08697_Q12884	17317851	1
P04637_Q12888	17805299	1
P04637_Q12888	14985081	1
Q12888_Q2TAK8	20347427	1
Q12888_Q96RU2	16901786	1
Q12891_Q9NZC7	19366691	1
P49257_Q12893	24806965	1
P53618_Q12893	24806965	1
Q12893_Q96JB2	24806965	1
P32455_Q12904	24337748	1
P25705_Q12904	11741979	1
Q12905_Q12906	10574923	1
Q12905_Q12906	11739746	1
P78527_Q12905	9442054	1
Q12905_Q9NZI8	17289661	1
Q12906_Q9HAV4	11777942	1
Q12906_Q9UKV8	17932509	1
Q12906_Q9UL18	17932509	1
P78527_Q12906	9442054	1
P09619_Q12913	10821867	1
P14923_Q12913	12370829	1
P35222_Q12913	12370829	1
O60716_Q12913	19332538	1
P12931_Q12913	19332538	1
P27361_Q12913	19494114	1
P28482_Q12913	19494114	1
O00459_Q12923	23604317	1
Q12923_Q9UKC9	23604317	1
Q12923_Q96C92	23108400	1
Q12923_Q9HB21	14516276	1
Q12923_Q16513	11356191	1
Q12926_Q9NZI8	17289661	1
P31040_Q12931	23747254	1
Q12931_Q9BXM7	17579517	1
P12931_Q12931	23564345	1
P09211_Q12933	16636664	1
Q12933_Q13490	20447407	1
O95999_Q12933	11466612	1
P17706_Q12933	15696169	1
Q12933_Q9NP84	11728344	1
P19525_Q12933	15121867	1
O94972_Q12933	11279055	1
P08138_Q12933	11279055	1
P20333_Q12933	11279055	1
P25942_Q12933	11279055	1
P36941_Q12933	11279055	1
Q12933_Q92956	11279055	1
Q12933_Q93009	11279055	1
Q12933_Q9UKE5	10521462	1
