Pubmed	Owner	Status	Admin Users	Admin Groups	
21828071	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21750715	PMDaemon	RELEASED	liviap	INTACT,IMEX CURATORS
21858095	PMDaemon	RELEASED	liviap	INTACT,IMEX CURATORS
20207734	PMDaemon	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
21912660	PMDaemon	NEW		IMEX CURATORS
21915281	PMDaemon	INPROGRESS	liviap	INTACT,IMEX CURATORS
16330715	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20860841	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21733846	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15883197	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21622572	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15795318	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
16201016	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17244359	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18332182	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21795712	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18931684	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19646263	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17893247	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18776931	PMDaemon	NEW		IMEX CURATORS
20442859	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19153141	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
11149924	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17283181	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
24501689	PMDaemon	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
22087308	PMDaemon	NEW		IMEX CURATORS
21278917	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20011528	PMDaemon	NEW		IMEX CURATORS
20098713	PMDaemon	NEW		IMEX CURATORS
