Entry	input_up	Organism ID
A0A096MJE9	A0A096MJE9	10116
A0A096MJF0	A0A096MJF0	10116
A0A096MJF3	A0A096MJF3	10116
A0A096MJF6	A0A096MJF6	10116
A0A096MJF7	A0A096MJF7	10116
A0A096MJG3	A0A096MJG3	10116
A0A096MJG5	A0A096MJG5	10116
A0A096MJH1	A0A096MJH1	10116
A0A096MJH3	A0A096MJH3	10116
A0A096MJH6	A0A096MJH6	10116
A0A096MJH8	A0A096MJH8	10116
A0A096MJI3	A0A096MJI3	10116
A0A096MJI5	A0A096MJI5	10116
A0A096MJJ0	A0A096MJJ0	10116
A0A096MJJ1	A0A096MJJ1	10116
A0A096MJJ6	A0A096MJJ6	10116
A0A096MJJ9	A0A096MJJ9	10116
A0A096MJK3	A0A096MJK3	10116
A0A096MJK6	A0A096MJK6	10116
A0A096MJK7	A0A096MJK7	10116
A0A096MJL0	A0A096MJL0	10116
A0A096MJL5	A0A096MJL5	10116
A0A096MJL8	A0A096MJL8	10116
A0A096MJL9	A0A096MJL9	10116
A0A096MJM1	A0A096MJM1	10116
A0A096MJM8	A0A096MJM8	10116
A0A096MJN0	A0A096MJN0	10116
A0A096MJN1	A0A096MJN1	10116
A0A096MJN9	A0A096MJN9	10116
A0A096MJP5	A0A096MJP5	10116
A0A096MJQ0	A0A096MJQ0	10116
A0A096MJQ1	A0A096MJQ1	10116
A0A096MJQ6	A0A096MJQ6	10116
A0A096MJR1	A0A096MJR1	10116
A0A096MJS6	A0A096MJS6	10116
A0A096MJS9	A0A096MJS9	10116
A0A096MJT2	A0A096MJT2	10116
A0A096MJT7	A0A096MJT7	10116
A0A096MJU9	A0A096MJU9	10116
A0A096MJV1	A0A096MJV1	10116
A0A096MJV2	A0A096MJV2	10116
A0A096MJV7	A0A096MJV7	10116
A0A096MJV9	A0A096MJV9	10116
A0A096MJW5	A0A096MJW5	10116
A0A096MJW8	A0A096MJW8	10116
A0A096MJX0	A0A096MJX0	10116
A0A096MJX9	A0A096MJX9	10116
A0A096MJY1	A0A096MJY1	10116
A0A096MJY2	A0A096MJY2	10116
A0A096MJY3	A0A096MJY3	10116
A0A096MJY4	A0A096MJY4	10116
A0A096MJY5	A0A096MJY5	10116
A0A096MJY6	A0A096MJY6	10116
A0A096MJY8	A0A096MJY8	10116
A0A096MJZ4	A0A096MJZ4	10116
A0A096MJZ5	A0A096MJZ5	10116
A0A096MJZ6	A0A096MJZ6	10116
A0A096MJZ8	A0A096MJZ8	10116
A0A096MK01	A0A096MK01	10116
A0A096MK02	A0A096MK02	10116
A0A096MK04	A0A096MK04	10116
A0A096MK10	A0A096MK10	10116
A0A096MK13	A0A096MK13	10116
A0A096MK14	A0A096MK14	10116
A0A096MK15	A0A096MK15	10116
A0A096MK16	A0A096MK16	10116
A0A096MK18	A0A096MK18	10116
A0A096MK21	A0A096MK21	10116
A0A096MK34	A0A096MK34	10116
A0A096MK43	A0A096MK43	10116
A0A096MK44	A0A096MK44	10116
A0A096MK45	A0A096MK45	10116
A0A096MK55	A0A096MK55	10116
A0A096MK56	A0A096MK56	10116
A0A096MK61	A0A096MK61	10116
A0A096MK62	A0A096MK62	10116
A0A096MK63	A0A096MK63	10116
A0A096MK72	A0A096MK72	10116
A0A096MK75	A0A096MK75	10116
