pair_id_clean	ida_clean	idb_clean	pubid	taxon	OmniPath_interactions
Q05516_Q99684	Q05516	Q99684	19723763	9606	1
P42345_Q13547	P42345	Q13547	11602581	9606	1
Q13547_Q9NRA0	Q9NRA0	Q13547	19729656	9606	1
Q13547_Q8TAQ5	Q8TAQ5	Q13547	19377469	9606	1
Q01543_Q13547	Q13547	Q01543	24058639	9606	1
Q13547_Q16236	Q13547	Q16236	18241676	9606	1
O60675_Q13547	Q13547	O60675	18241676	9606	1
Q05513_Q12933	Q05513	Q12933	19336568	9606	1
Q05513_Q15831	Q05513	Q15831	19414597	9606	1
Q05513_Q15831	Q05513	Q15831	18250273	9606	1
Q05513_Q15831	Q05513	Q15831	20724523	9606	1
Q05513_Q15831	Q05513	Q15831	17635921	9606	1
Q05513_Q15466	Q05513	Q15466	23824184	9606	1
P35612_Q05513	Q05513	P35612	16116087	9606	1
P35612_Q05513	Q05513	P35612	9679146	9606	1
P55042_Q05513	Q05513	P55042	9677319	9606	1
P61587_Q05513	Q05513	P61587	23622247	9606	1
Q05513_Q7KZI7	Q05513	Q7KZI7	15084291	9606	1
O43315_Q05513	Q05513	O43315	21873454	9606	1
O43315_Q05513	Q05513	O43315	17346701	9606	1
Q05513_Q9UBS0	Q05513	Q9UBS0	12529391	9606	1
P35611_Q05513	Q05513	P35611	8810272	9606	1
P35611_Q05513	Q05513	P35611	9679146	9606	1
P35611_Q05513	Q05513	P35611	15611095	9606	1
Q05513_Q6STE5	Q05513	Q6STE5	23219531	9606	1
P35580_Q05513	Q05513	P35580	16611744	9606	1
P27448_Q05513	Q05513	P27448	15084291	9606	1
O43175_Q05513	Q05513	O43175	23374352	9606	1
P55040_Q05513	Q05513	P55040	17605761	9606	1
P55040_Q05513	Q05513	P55040	14701738	9606	1
Q05513_Q16625	Q05513	Q16625	21545357	9606	1
O43432_P42574	P42574	O43432	10611228	9606	1
O43432_P42574	P42574	O43432	10672017	9606	1
O43432_Q6P2M8	Q6P2M8	O43432	22514323	9606	1
O43432_Q96NX5	Q96NX5	O43432	22514323	9606	1
O43432_Q96NX5	Q96NX5	O43432	14507913	9606	1
P24941_P29590	P24941	P29590	21840486	9606	1
P24941_P29590	P24941	P29590	17989716	9606	1
P24941_P29590	P24941	P29590	25293974	9606	1
P27361_P29590	P27361	P29590	15093545	9606	1
P29590_Q15796	Q15796	P29590		9606	1
P29590_P46937	P29590	P46937	19111660	9606	1
P29590_P46937	P29590	P46937	19788416	9606	1
P29590_P48729	P29590	P48729	18246126	9606	1
P06493_P29590	P06493	P29590	21840486	9606	1
P10828_P37231	P10828	P37231	16260719	9606	1
P10828_P27361	P27361	P10828	12809513	9606	1
P10828_P42229	P10828	P42229	10976919	9606	1
P10828_P28482	P28482	P10828	12809513	9606	1
P10828_Q15466	Q15466	P10828	11368516	9606	1
P10828_Q15643	Q15643	P10828	9256431	9606	1
P08575_Q15835	Q15835	P08575	9111075	9606	1
P17301_Q08722	P17301	Q08722	9529384	9606	1
P02458_P17301	P02458	P17301	7688313	9606	1
P02458_P17301	P17301	P02458		9606	1
O95782_P62993	O95782	P62993	12577067	9606	1
P24941_P78317	P24941	P78317	25948581	9606	1
Q07869_Q15466	Q15466	Q07869	11369442	9606	1
