pair_id_clean	ida_clean	idb_clean	pubid	sources	is_directed	is_stimulation	is_inhibition	taxon	OmniPath_interactions
P21333_Q9UQM7	Q9UQM7	P21333	11290523	PhosphoPoint;PhosphoSite_dir;PhosphoSite;MIMP	1	0	0	9606	1
P21333_P38398	P21333	P38398	20305393	SPIKE	0	0	0	9606	1
P21333_P38398	P21333	P38398	22051193	SPIKE	0	0	0	9606	1
P21333_P38398	P21333	P38398	16713569	SPIKE	0	0	0	9606	1
P06493_P21333	P06493	P21333	17408621	PhosphoSite_dir;PhosphoSite;MIMP	1	0	0	9606	1
P06493_P21333	P06493	P21333	25445790	PhosphoSite_dir;PhosphoSite;MIMP	1	0	0	9606	1
P17612_P21333	P17612	P21333	15228085	Laudanna_effects;CA1;Signor;PhosphoSite;Laudanna_sigflow;MIMP;Wang	1	1	0	9606	1
P17612_P21333	P17612	P21333	207708	Laudanna_effects;CA1;Signor;PhosphoSite;Laudanna_sigflow;MIMP;Wang	1	1	0	9606	1
P21333_P48454	P48454	P21333	16442073	DEPOD	1	0	0	9606	1
P16298_P21333	P16298	P21333	16442073	DEPOD	1	0	0	9606	1
P21333_Q08209	Q08209	P21333	16442073	Signor;DEPOD	1	0	1	9606	1
P21333_Q01974	Q01974	P21333	18667433	Signor	1	1	0	9606	1
O75487_P56704	O75487	P56704	22302992	Signor	1	1	0	9606	1
P08754_P35462	P35462	P08754	15102843	Laudanna_effects;CA1;Laudanna_sigflow;Wang	1	1	0	9606	1
P35462_P49841	P49841	P35462	17536008	phosphoELM	1	0	0	9606	1
P09471_P35462	P35462	P09471	15102843	Laudanna_effects;CA1;Laudanna_sigflow;Wang	1	1	0	9606	1
O15126_P49674	P49674	O15126	9658162	phosphoELM	1	0	0	9606	1
P02671_P06213	P06213	P02671	6255944	phosphoELM	1	0	0	9606	1
P02671_P06213	P06213	P02671	1956339	phosphoELM	1	0	0	9606	1
P06213_Q13017	P06213	Q13017	12705864	PhosphoSite_dir;PhosphoSite;MIMP	1	0	0	9606	1
P06213_P51452	P51452	P06213	1281549	DEPOD	1	0	0	9606	1
P06213_P35232	P06213	P35232	22124450	PhosphoSite_dir;PhosphoSite;MIMP	1	0	0	9606	1
P06213_P35232	P06213	P35232	22410782	PhosphoSite_dir;PhosphoSite;MIMP	1	0	0	9606	1
P06213_P35232	P06213	P35232	19238206	PhosphoSite_dir;PhosphoSite;MIMP	1	0	0	9606	1
P06213_P54646	P54646	P06213	22207502	Signor	1	1	0	9606	1
P06213_Q12923	Q12923	P06213	15611135	Signor	1	0	1	9606	1
P06213_Q9HD43	Q9HD43	P06213	10734133	Signor	1	0	1	9606	1
P06213_P23469	P06213	P23469		PhosphoPoint	1	0	0	9606	1
P06213_P23469	P23469	P06213	15738637	DEPOD	1	0	0	9606	1
P06213_Q9UEF7	Q9UEF7	P06213	17684529	SPIKE	1	1	1	9606	1
P30530_Q07954	P30530	Q07954	12069755	phosphoELM	1	0	0	9606	1
Q07954_Q9UP38	Q07954	Q9UP38	14739301	Laudanna_effects;CancerCellMap;Laudanna_sigflow;Wang	1	1	0	9606	1
P17252_Q07954	P17252	Q07954	15272003	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	1	0	9606	1
P00734_Q07954	P00734	Q07954	8626456	Signor;Laudanna_sigflow;Laudanna_effects;Wang	1	1	0	9606	1
P01008_Q07954	P01008	Q07954	8626456	Signor;Laudanna_sigflow;Laudanna_effects;Wang	1	1	0	9606	1
O15111_O15379	O15111	O15379	16382138	Macrophage	1	0	0	9606	1
O15111_O15379	O15111	O15379	15494311	Macrophage	1	0	0	9606	1
O15111_Q04864	O15111	Q04864	17072339	PhosphoSite_dir;PhosphoSite;MIMP	1	0	0	9606	1
O15111_Q9Y261	O15111	Q9Y261	22196886	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	0	1	9606	1
O15111_P20338	O15111	P20338	1425574	phosphoELM	1	0	0	9606	1
O15111_P24385	P24385	O15111		Laudanna_effects;Laudanna_sigflow	1	1	0	9606	1
O15111_Q15717	O15111	Q15717	23115237	PhosphoSite_dir;PhosphoSite	1	0	0	9606	1
O15111_P49815	O15111	P49815	18490760	Signor;SignaLink3	1	0	1	9606	1
O15111_Q9Y243	Q9Y243	O15111	19609947	Signor;KEGG;Laudanna_sigflow;Laudanna_effects;Wang	1	1	0	9606	1
O15111_Q9BUZ4	O15111	Q9BUZ4	22547678	Signor;PhosphoSite_dir;PhosphoSite;MIMP	1	0	1	9606	1
O15111_P68431	O15111	P68431	16916935	SPIKE	1	0	0	9606	1
O15111_Q9NQC7	O15111	Q9NQC7	24614225	Signor;SignaLink3	1	1	1	9606	1
O15111_P42684	P42684	O15111	21552281	SignaLink3	1	0	0	9606	1
O15111_P20700	O15111	P20700	2188730	phosphoELM	1	0	0	9606	1
O15111_O95786	O95786	O15111	17468758	KEGG;Macrophage	1	1	0	9606	1
O15111_O95786	O95786	O15111	16177806	KEGG;Macrophage	1	1	0	9606	1
O15111_O95786	O95786	O15111	16153868	KEGG;Macrophage	1	1	0	9606	1
O15111_P62714	P62714	O15111	9252186	DEPOD	1	0	0	9606	1
O15111_P20333	O15111	P20333	9535738	phosphoELM	1	0	0	9606	1
O15111_P20333	P20333	O15111		Laudanna_effects;Laudanna_sigflow	1	1	0	9606	1
O15111_P20020	O15111	P20020	2548572	phosphoELM	1	0	0	9606	1
P30530_P48736	P30530	P48736	12470648	SignaLink3	1	1	0	9606	1
P07225_P30530	P07225	P30530	7867073	Signor;Guide2Pharma;Laudanna_sigflow;Laudanna_effects;Wang	1	1	0	9606	1
P30530_Q13588	P30530	Q13588	9178760	SignaLink3	1	1	0	9606	1
P30530_P30531	P30530	P30531	11555659	phosphoELM	1	0	0	9606	1
P19022_P39086	P19022	P39086	12151522	Laudanna_effects;CA1;Laudanna_sigflow;Wang	1	0	0	9606	1
P19022_P39086	P39086	P19022	12151522	Laudanna_effects;CA1;Laudanna_sigflow	1	0	0	9606	1
P19022_P26367	P26367	P19022	19666824	SPIKE	1	1	0	9606	1
P17612_P52565	P17612	P52565	18768928	Signor;KEGG;PhosphoSite_dir;PhosphoSite;MIMP	1	1	1	9606	1
P17612_P52565	P17612	P52565	20028975	Signor;KEGG;PhosphoSite_dir;PhosphoSite;MIMP	1	1	1	9606	1
P17612_P52565	P17612	P52565	15225553	Signor;KEGG;PhosphoSite_dir;PhosphoSite;MIMP	1	1	1	9606	1
P17612_P52565	P17612	P52565	24820414	Signor;KEGG;PhosphoSite_dir;PhosphoSite;MIMP	1	1	1	9606	1
P06239_Q96LC7	P06239	Q96LC7	11733002	Signor;PhosphoSite_dir;PhosphoSite;phosphoELM;MIMP;Wang	1	1	0	9606	1
P06239_Q96LC7	P06239	Q96LC7	12163025	Signor;PhosphoSite_dir;PhosphoSite;phosphoELM;MIMP;Wang	1	1	0	9606	1
P06239_Q9UQF2	P06239	Q9UQF2	12756254	phosphoELM	1	0	0	9606	1
P06239_Q9UQF2	P06239	Q9UQF2	16195223	phosphoELM	1	0	0	9606	1
P06239_P18433	P18433	P06239	9535845	Laudanna_effects;CA1;Laudanna_sigflow;Wang	1	1	0	9606	1
P06239_P20138	P06239	P20138	10887109	Laudanna_effects;PhosphoSite;Laudanna_sigflow;MIMP;Signor;PhosphoSite_dir;phosphoELM;Wang	1	1	0	9606	1
P06239_P20138	P06239	P20138	10206955	Laudanna_effects;PhosphoSite;Laudanna_sigflow;MIMP;Signor;PhosphoSite_dir;phosphoELM;Wang	1	1	0	9606	1
P06239_Q13191	Q13191	P06239	8083187	Laudanna_effects;CA1;Laudanna_sigflow;Wang	1	0	1	9606	1
P06239_Q13191	Q13191	P06239	11904433	Laudanna_effects;CA1;Laudanna_sigflow;Wang	1	0	1	9606	1
P06239_P60484	P06239	P60484	11948419	Signor;MIMP;PhosphoSite;PhosphoNetworks;phosphoELM	1	1	0	9606	1
P06239_P60484	P06239	P60484	10866658	Signor;MIMP;PhosphoSite;PhosphoNetworks;phosphoELM	1	1	0	9606	1
P06239_P60484	P06239	P60484	12297295	Signor;MIMP;PhosphoSite;PhosphoNetworks;phosphoELM	1	1	0	9606	1
P06239_P60484	P06239	P60484	12077256	Signor;MIMP;PhosphoSite;PhosphoNetworks;phosphoELM	1	1	0	9606	1
P06239_Q06830	P06239	Q06830	20178744	PhosphoSite_dir;PhosphoSite;MIMP	1	0	0	9606	1
