pair_id	id_a	id_b	pair_id_clean	id_a_clean	id_b_clean	taxid_a	taxid_b	pubid
Q8N668_Q9UBI1	Q8N668	Q9UBI1	Q8N668_Q9UBI1	Q8N668	Q9UBI1	9606	9606	15799966
Q13619_Q9UBI1	Q13619	Q9UBI1	Q13619_Q9UBI1	Q13619	Q9UBI1	9606	9606	21778237
Q13618_Q9UBI1	Q13618	Q9UBI1	Q13618_Q9UBI1	Q13618	Q9UBI1	9606	9606	21778237
Q13620_Q9UBI1	Q13620	Q9UBI1	Q13620_Q9UBI1	Q13620	Q9UBI1	9606	9606	21778237
Q93034_Q9UBI1	Q93034	Q9UBI1	Q93034_Q9UBI1	Q93034	Q9UBI1	9606	9606	21778237
O14965_Q9ULW0	O14965	Q9ULW0	O14965_Q9ULW0	O14965	Q9ULW0	9606	9606	18662907
O14965_Q9ULW0	O14965	Q9ULW0	O14965_Q9ULW0	O14965	Q9ULW0	9606	9606	19801554
Q00839_Q9ULW0	Q00839	Q9ULW0	Q00839_Q9ULW0	Q00839	Q9ULW0	9606	9606	25986610
O14965_Q9ULW0	O14965	Q9ULW0	O14965_Q9ULW0	O14965	Q9ULW0	9606	9606	27837025
Q00839_Q9ULW0	Q00839	Q9ULW0	Q00839_Q9ULW0	Q00839	Q9ULW0	9606	9606	21242313
P24928_Q9UPN6	P24928	Q9UPN6	P24928_Q9UPN6	P24928	Q9UPN6	9606	9606	18550522
Q92562_Q9Y2I7	Q92562	Q9Y2I7	Q92562_Q9Y2I7	Q92562	Q9Y2I7	9606	9606	17556371
P00533_Q9Y2I7	P00533	Q9Y2I7	P00533_Q9Y2I7	P00533	Q9Y2I7	9606	9606	17909029
O15061_Q9Y4J8	O15061	Q9Y4J8	O15061_Q9Y4J8	O15061	Q9Y4J8	9606	9606	11353857
Q15049_Q9Y4J8	Q15049	Q9Y4J8	Q15049_Q9Y4J8	Q15049	Q9Y4J8	9606	9606	19931615
A6NHR9_Q5T3J3	Q5T3J3	A6NHR9	A6NHR9_Q5T3J3	Q5T3J3	A6NHR9	9606	9606	23542155
O14531_P21333	P21333	O14531	O14531_P21333	P21333	O14531	9606	9606	25358863
O15303_O15303	O15303	O15303	O15303_O15303	O15303	O15303	9606	9606	17405131
O15381_P42285	P42285	O15381	O15381_P42285	P42285	O15381	9606	9606	26166824
O14746_O15381	O14746	O15381	O14746_O15381	O14746	O15381	9606	9606	22226966
O15381_Q6RFH5	Q6RFH5	O15381	O15381_Q6RFH5	Q6RFH5	O15381	9606	9606	28416111
O15381_P46777	P46777	O15381	O15381_P46777	P46777	O15381	9606	9606	15469983
O15381_P42285	P42285	O15381	O15381_P42285	P42285	O15381	9606	9606	31358741
O15381_P42285	P42285	O15381	O15381_P42285	P42285	O15381	9606	9606	16782053
P16104_Q08211	Q08211	P16104	P16104_Q08211	Q08211	P16104	9606	9606	17498979
P16104_Q14191	Q14191	P16104	P16104_Q14191	Q14191	P16104	9606	9606	17498979
P16104_Q9BUR4	Q9BUR4	P16104	P16104_Q9BUR4	Q9BUR4	P16104	9606	9606	26734725
P16104_P32121	P32121	P16104	P16104_P32121	P32121	P16104	9606	9606	16820410
P16104_Q9BUR4	Q9BUR4	P16104	P16104_Q9BUR4	Q9BUR4	P16104	9606	9606	27715493
O00213_P16104	O00213	P16104	O00213_P16104	O00213	P16104	9606	9606	19234442
P16104_Q99504	Q99504	P16104	P16104_Q99504	Q99504	P16104	9606	9606	19234442
P16144_Q03001	Q03001	P16144	P16144_Q03001	Q03001	P16144	9606	9606	11375975
P16144_Q99500	Q99500	P16144	P16144_Q99500	Q99500	P16144	9606	9606	24851274
O95136_P16144	O95136	P16144	O95136_P16144	O95136	P16144	9606	9606	24851274
P16144_P20073	P20073	P16144	P16144_P20073	P20073	P16144	9606	9606	24007983
P16144_Q9UMD9	Q9UMD9	P16144	P16144_Q9UMD9	Q9UMD9	P16144	9606	9606	12482924
P16144_Q03001-3	Q03001-3	P16144	P16144_Q03001	Q03001	P16144	9606	9606	12482924
P16144_P63000	P63000	P16144	P16144_P63000	P63000	P16144	9606	9606	19403692
P08887_P26441	P08887	P26441	P08887_P26441	P08887	P26441	9606	9606	12643274
P27540_Q99814	Q99814	P27540	P27540_Q99814	Q99814	P27540	9606	9606	16181639
P27540_Q16665	Q16665	P27540	P27540_Q16665	Q16665	P27540	9606	9606	7539918
P27540_P35869	P35869	P27540	P27540_P35869	P35869	P27540	9606	9606	9079689
P27540_Q99814	Q99814	P27540	P27540_Q99814	Q99814	P27540	9606	9606	9079689
P27540_Q16665	Q16665	P27540	P27540_Q16665	Q16665	P27540	9606	9606	9079689
P27540_Q9UBP5	Q9UBP5	P27540	P27540_Q9UBP5	Q9UBP5	P27540	9606	9606	10692439
