ida	idb	pair_id	ida_clean	idb_clean	pair_id_clean	pubid	GO_IPI
A0A0H2UQX6	A0A0H2UP05	A0A0H2UP05_A0A0H2UQX6	A0A0H2UQX6	A0A0H2UP05	A0A0H2UP05_A0A0H2UQX6	23267104	1
A0A0H2UQY5	A0A0H2UQU4	A0A0H2UQU4_A0A0H2UQY5	A0A0H2UQY5	A0A0H2UQU4	A0A0H2UQU4_A0A0H2UQY5	23267104	1
A0A0H2UQY5	E7DNC2	A0A0H2UQY5_E7DNC2	A0A0H2UQY5	E7DNC2	A0A0H2UQY5_E7DNC2	27103053	1
A0A0H2UQY5	E7DND6	A0A0H2UQY5_E7DND6	A0A0H2UQY5	E7DND6	A0A0H2UQY5_E7DND6	27103053	1
A0A0H2UQZ2	A0A0H2UN91	A0A0H2UN91_A0A0H2UQZ2	A0A0H2UQZ2	A0A0H2UN91	A0A0H2UN91_A0A0H2UQZ2	23267104	1
A0A0H2UR23	A0A0H2UPY2	A0A0H2UPY2_A0A0H2UR23	A0A0H2UR23	A0A0H2UPY2	A0A0H2UPY2_A0A0H2UR23	23267104	1
A0A0H2UR43	P63895	A0A0H2UR43_P63895	A0A0H2UR43	P63895	A0A0H2UR43_P63895	23267104	1
A0A0H2UR62	A0A0H2UPE1	A0A0H2UPE1_A0A0H2UR62	A0A0H2UR62	A0A0H2UPE1	A0A0H2UPE1_A0A0H2UR62	23267104	1
A0A0H2UR82	E7DNA8	A0A0H2UR82_E7DNA8	A0A0H2UR82	E7DNA8	A0A0H2UR82_E7DNA8	27103053	1
A0A0H2UR86	E7DNC2	A0A0H2UR86_E7DNC2	A0A0H2UR86	E7DNC2	A0A0H2UR86_E7DNC2	27103053	1
A0A0H2UR87	E7DNC2	A0A0H2UR87_E7DNC2	A0A0H2UR87	E7DNC2	A0A0H2UR87_E7DNC2	27103053	1
A0A0H2URA0	E7DN96	A0A0H2URA0_E7DN96	A0A0H2URA0	E7DN96	A0A0H2URA0_E7DN96	27103053	1
A0A0H2URA2	A0A0H2UQ73	A0A0H2UQ73_A0A0H2URA2	A0A0H2URA2	A0A0H2UQ73	A0A0H2UQ73_A0A0H2URA2	23267104	1
A0A0H2URF0	Q97NE3	A0A0H2URF0_Q97NE3	A0A0H2URF0	Q97NE3	A0A0H2URF0_Q97NE3	23267104	1
A0A0H2URF8	A0A0H2US62	A0A0H2URF8_A0A0H2US62	A0A0H2URF8	A0A0H2US62	A0A0H2URF8_A0A0H2US62	23267104	1
A0A0H2URF8	E7DNB2	A0A0H2URF8_E7DNB2	A0A0H2URF8	E7DNB2	A0A0H2URF8_E7DNB2	27103053	1
A0A0H2URH3	Q97QD1	A0A0H2URH3_Q97QD1	A0A0H2URH3	Q97QD1	A0A0H2URH3_Q97QD1	23267104	1
A0A0H2URH9	Q97QJ3	A0A0H2URH9_Q97QJ3	A0A0H2URH9	Q97QJ3	A0A0H2URH9_Q97QJ3	23267104	1
A0A0H2URK9	E7DN96	A0A0H2URK9_E7DN96	A0A0H2URK9	E7DN96	A0A0H2URK9_E7DN96	27103053	1
